  172.16.5.1            50-e5-49-e1-40-87     
  172.16.5.2            00-1f-d0-57-39-e6     
  172.16.5.3            00-1f-d0-57-43-55     
  172.16.5.4            00-1f-d0-57-39-f3     
  172.16.5.5            50-e5-49-30-93-71     
  172.16.5.6            00-1f-d0-57-39-f5     
  172.16.5.7            00-1f-d0-51-1e-23     
  172.16.5.8            00-1f-d0-57-43-80     
  172.16.5.9            00-1f-d0-57-44-03     
  172.16.5.10           00-1f-d0-57-39-e4     
  172.16.5.11           00-1f-d0-57-39-e7     
  172.16.5.12           00-1f-d0-57-39-4f     
  172.16.5.13           00-1f-d0-57-39-fa     
  172.16.5.14           00-1f-d0-57-39-fc     
  172.16.5.15           00-1f-d0-57-44-0d     
  172.16.5.16           00-1f-d0-57-39-eb     
  172.16.5.17           00-1d-60-3f-ce-f8     
  172.16.5.18           00-1b-fc-ce-5f-3e     
  172.16.5.19           00-1f-d0-57-44-15     

  172.16.1.1            14-dd-a9-7d-08-45     
  172.16.1.2            50-e5-49-36-f4-c3     
  172.16.1.3            50-e5-49-36-f4-e8     
  172.16.1.4            50-e5-49-36-f4-eb     
  172.16.1.5            50-e5-49-30-90-c0     
  172.16.1.6            50-e5-49-36-f4-6a     
  172.16.1.7            50-e5-49-30-8f-c8     
  172.16.1.8            50-e5-49-36-f4-5f      
  172.16.1.9            14-dd-a9-7d-07-d0   
  172.16.1.11           48-ee-0c-bb-1d-c7     
  172.16.1.12           10-bf-48-42-b4-9a     
  172.16.1.13           c8-60-00-c4-7f-f5     
  172.16.1.14           c8-60-00-c4-ed-26     
  172.16.1.15           10-bf-48-41-54-1c     
  172.16.1.17           10-bf-48-41-51-ca 

  172.16.3.1            00-22-15-b2-05-e3     
  172.16.3.2            00-22-15-b2-05-d8     
  172.16.3.3            00-22-15-b2-05-e0     
  172.16.3.4            00-22-15-b2-05-e2     
  172.16.3.5            48-5b-39-96-bd-c3     
  172.16.3.6            48-5b-39-96-be-b4     
  172.16.3.7            48-5b-39-96-be-9a     
  172.16.3.8            48-5b-39-96-bf-cd     
  172.16.3.9            48-5b-39-96-be-a1     
  172.16.3.10           48-5b-39-96-bf-ca     
  172.16.3.11           48-5b-39-96-bd-da     
  172.16.3.12           48-5b-39-96-bf-c9     
  172.16.3.13           48-5b-39-96-bd-12     
  172.16.3.14           00-1b-fc-d4-e5-05     
  172.16.3.15           c8-d3-a3-83-9d-71     
  172.16.3.16           00-22-15-b2-05-dd     
  172.16.3.17           48-5b-39-96-bf-36     
